Job Title;Company;Experience;Salary;Link
Специалист ITотдела;ТОО Inkar;Опыт 1-3 года;до 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108794007?hhtmFrom=vacancy_search_list
Junior analyst / Младший аналитик;ТОО Intermode (Интермоде);Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107942796?hhtmFrom=vacancy_search_list
IOS/ANDROID/ PYTHON-backend Разработчик;ИП FoodCloud;Опыт 3-6 лет;от 250 000 ₸ на руки;https://almaty.hh.kz/vacancy/108730607?hhtmFrom=vacancy_search_list
QA инженер;АО TECHNODOM Operator (Технодом Оператор);Без опыта;Not specified;https://almaty.hh.kz/vacancy/108183753?hhtmFrom=vacancy_search_list
Data analyst;ТОО PAYPLUS;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108746698?hhtmFrom=vacancy_search_list
Аналитик по управлению доходами;AIR ASTANA, АО;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108843049?hhtmFrom=vacancy_search_list
Software Engineer (Python);Team4You;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108695373?hhtmFrom=vacancy_search_list
Backend-разработчик;ИП Мухитдинов;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108878869?hhtmFrom=vacancy_search_list
IT-специалист;ТОО SMLAB;Опыт 3-6 лет;от 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108581690?hhtmFrom=vacancy_search_list
Frontend Developer в SuperApp;АО Kcell;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108449343?hhtmFrom=vacancy_search_list
Программист 1С:ERP;АО КЕЛЕТ;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108821160?hhtmFrom=vacancy_search_list
Frontend-разработчик (Angular);talent U;Опыт 3-6 лет;700 000 – 800 000 ₸ на руки;https://almaty.hh.kz/vacancy/108185623?hhtmFrom=vacancy_search_list
Бизнес-аналитик;ТОО TEPLOSTIL;"Опыт более 6&nbsp;лет";500 000 – 2 000 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108591117?hhtmFrom=vacancy_search_list
Начальник IT / ПТО;ТОО Ниет ЛТД;Опыт 1-3 года;530 000 – 530 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108615276?hhtmFrom=vacancy_search_list
QA инженер;АО «ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»;Опыт 1-3 года;до 600 000 ₸ на руки;https://almaty.hh.kz/vacancy/108658885?hhtmFrom=vacancy_search_list
Аналитик данных;ТОО Abris Distribution Kazakhstan, Филиал Компании в Казахстане;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107932143?hhtmFrom=vacancy_search_list
Системный аналитик;ТОО Bilim Land (Bilim Media Group);Опыт 1-3 года;до 700 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108498849?hhtmFrom=vacancy_search_list
Системный администратор;iFuture;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108729296?hhtmFrom=vacancy_search_list
Менеджер чат-поддержки;ТОО IT Contact Center (АйТи Контакт Центр);Без опыта;от 350 000 ₸ на руки;https://almaty.hh.kz/vacancy/108241508?hhtmFrom=vacancy_search_list
Специалист технической поддержки;ТОО Рауза АДЕ;Опыт 1-3 года;от 250 000 ₸ на руки;https://almaty.hh.kz/vacancy/108833937?hhtmFrom=vacancy_search_list
Backend разработчик;ТОО FREEDOM MOBILE;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107603323?hhtmFrom=vacancy_search_list
Специалист службы поддержки чатов;ТОО Glovo Kazakhstan;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108234360?hhtmFrom=vacancy_search_list
Junior Backend Go разработчик;ТОО Crystal Spring;Опыт 1-3 года;от 200 000 ₸ на руки;https://almaty.hh.kz/vacancy/107560612?hhtmFrom=vacancy_search_list
Руководитель клиентского сервиса интернет-аптеки;ТОО Rocket Pharm;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108513579?hhtmFrom=vacancy_search_list
Manual QA Engineer (defi, blockchain);EmFi Technologies Limited;Опыт 1-3 года;1 500 – 2 500 $ до вычета налогов;https://almaty.hh.kz/vacancy/108782104?hhtmFrom=vacancy_search_list
Специалист IT (Help Desk);ТОО ПЕРВЫЙ ПИВЗАВОД;Опыт 3-6 лет;350 000 – 400 000 ₸ на руки;https://almaty.hh.kz/vacancy/108350853?hhtmFrom=vacancy_search_list
Information security engineer/Инженер по информационной безопасности;ТОО TechBridge;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108777839?hhtmFrom=vacancy_search_list
Senior Programme Manager;ТОО BRITISH COUNCIL (KAZAKHSTAN) (БРИТИШ КАУНСИЛ (КАЗАХСТАН));Опыт 3-6 лет;875 000 – 875 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107519531?hhtmFrom=vacancy_search_list
Senior Data Engineer/Дата инженер;ТОО Agile Soft;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108498469?hhtmFrom=vacancy_search_list
Azure Devops Engineer;AIR ASTANA, АО;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108790617?hhtmFrom=vacancy_search_list
Программист Java SPRING;Analytics Company;Опыт 3-6 лет;2 800 – 5 500 $ до вычета налогов;https://almaty.hh.kz/vacancy/108500120?hhtmFrom=vacancy_search_list
ICT Associate, CP Almaty;Программа Развития Организации Объединенных Наций в РК;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108519412?hhtmFrom=vacancy_search_list
Senior IOS Developer;ТОО BTS Digital;"Опыт более 6&nbsp;лет";Not specified;https://almaty.hh.kz/vacancy/108665098?hhtmFrom=vacancy_search_list
Enterprise Architect;АО SMART BANK;"Опыт более 6&nbsp;лет";от 5 000 $ на руки;https://almaty.hh.kz/vacancy/108714952?hhtmFrom=vacancy_search_list
Техник-программист;ТОО АЛМАТЫЭНЕРГОСЕРВИС;Опыт 1-3 года;250 000 – 350 000 ₸ на руки;https://almaty.hh.kz/vacancy/108842086?hhtmFrom=vacancy_search_list
Бизнес-аналитик;АО Банк ЦентрКредит;Без опыта;Not specified;https://almaty.hh.kz/vacancy/107918968?hhtmFrom=vacancy_search_list
Оператор ЧПУ (мультикам);ТОО FinTechPro;Опыт 1-3 года;300 000 – 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/107940300?hhtmFrom=vacancy_search_list
Java Developer;Andersen;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108854178?hhtmFrom=vacancy_search_list
Junior DevOps Engineer;ТОО Сентрас Капитал;Опыт 1-3 года;200 000 – 400 000 ₸ на руки;https://almaty.hh.kz/vacancy/107643290?hhtmFrom=vacancy_search_list
Core Engineer, PSD;ТОО Хуавей Текнолоджиз Казахстан;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108501512?hhtmFrom=vacancy_search_list
Senior Python backend разработчик;АО Страховая компания Казахмыс;"Опыт более 6&nbsp;лет";1 000 000 – 1 700 000 ₸ на руки;https://almaty.hh.kz/vacancy/108587962?hhtmFrom=vacancy_search_list
Customer Support Intern (paid internship);ТОО Инфобип Казахстан;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108833251?hhtmFrom=vacancy_search_list
Разработчик Google Apps Script (JavaScript);ТОО Maxinum Consulting Ltd;Опыт 1-3 года;от 180 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107981942?hhtmFrom=vacancy_search_list
Техник Service Desk (Алматы, Республика Казахстан);Яндекс;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108839354?hhtmFrom=vacancy_search_list
Специалист по информационной безопасности;ТОО Freedom Technologies;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108440956?hhtmFrom=vacancy_search_list
Технический специалист;ТОО HoReCa Service24;Без опыта;350 000 – 400 000 ₸ на руки;https://almaty.hh.kz/vacancy/107542904?hhtmFrom=vacancy_search_list
Инженер-Программист встраиваемых систем;ТОО Alpha-Safety;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108796851?hhtmFrom=vacancy_search_list
GO Developer / React;Частная компания “Automated Communication Solutions Ltd.”;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108614409?hhtmFrom=vacancy_search_list
QA-специалист;Арканит;Опыт 3-6 лет;от 120 000 ₽ на руки;https://almaty.hh.kz/vacancy/108294489?hhtmFrom=vacancy_search_list
Консультант 1с;ТОО Optimal Course;Опыт 1-3 года;700 000 – 1 000 000 ₸ на руки;https://almaty.hh.kz/vacancy/108369593?hhtmFrom=vacancy_search_list
Data analyst;Публичная Компания «Freedom Finance Global PLC»;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107760857?hhtmFrom=vacancy_search_list
Senior Frontend developer;АО Jusan Bank;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108446534?hhtmFrom=vacancy_search_list
Разработчик backend (middle);ТОО IDOCSKZ;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108579022?hhtmFrom=vacancy_search_list
Разработчик автотестов;ТОО Small, ТМ (Скиф Трейд, ТОО);Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108822406?hhtmFrom=vacancy_search_list
Data Scientist;АО Народный банк Казахстана;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108136470?hhtmFrom=vacancy_search_list
DevOps Engineer;АО Банк ЦентрКредит;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108831384?hhtmFrom=vacancy_search_list
QA инженер;ТОО JMart;Без опыта;до 700 000 ₸ на руки;https://almaty.hh.kz/vacancy/106706204?hhtmFrom=vacancy_search_list
Технический директор;ТОО GSCO Group;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/107674785?hhtmFrom=vacancy_search_list
Программист 1С;ТОО Аврора Холдинг;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108469443?hhtmFrom=vacancy_search_list
Робототехник;ТОО Ruba Technology;Опыт 1-3 года;от 300 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108557672?hhtmFrom=vacancy_search_list
Специалист клиентской поддержки (входящие обращения);ТОО Международная беттинг компания Parimatch (ТОО БК PM Бет);Опыт 1-3 года;220 000 – 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108586957?hhtmFrom=vacancy_search_list
Специалист сопровождения банковских систем;Евразийский банк, АО;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108713779?hhtmFrom=vacancy_search_list
Специалист службы технической поддержки клиентов;ТОО Grand era;Опыт 3-6 лет;до 600 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107996633?hhtmFrom=vacancy_search_list
Application Security Engineer;Публичная Компания «Freedom Finance Global PLC»;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108674752?hhtmFrom=vacancy_search_list
Старший специалист Service Desk;АО Алма Телекоммуникейшнс Казахстан (ALMA +);Опыт 1-3 года;от 200 000 ₸ на руки;https://almaty.hh.kz/vacancy/108721639?hhtmFrom=vacancy_search_list
Менеджер технической поддержки;ТОО 1Fit;Опыт 1-3 года;от 200 000 ₸ на руки;https://almaty.hh.kz/vacancy/108834369?hhtmFrom=vacancy_search_list
Frontend-разработчик;ТОО Аврора Сервис;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107783971?hhtmFrom=vacancy_search_list
Customer Support Specialist;Speedlinehub;Опыт 1-3 года;645 – 1 100 $ на руки;https://almaty.hh.kz/vacancy/108189534?hhtmFrom=vacancy_search_list
Специалист чат-поддержки;ТОО Микрофинансовая организация Hava Finance (Хава Финанс);Без опыта;120 000 – 250 000 ₸ на руки;https://almaty.hh.kz/vacancy/108455577?hhtmFrom=vacancy_search_list
Специалист по технической поддержке;АО «ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»;Опыт 1-3 года;до 300 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108771844?hhtmFrom=vacancy_search_list
Специалист IT;ТОО Inova Tech;Опыт 3-6 лет;от 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108441541?hhtmFrom=vacancy_search_list
Ведущий эксперт по кибербезопасности Отдел мониторинга и реагирования;АО Bereke Bank;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108478002?hhtmFrom=vacancy_search_list
Специалист технической поддержки в чате (русский язык, удалённо);Liene;Без опыта;от 250 000 ₸ на руки;https://almaty.hh.kz/vacancy/108189763?hhtmFrom=vacancy_search_list
Инженер технической поддержки;Kaspi.kz;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108621549?hhtmFrom=vacancy_search_list
Product manager;ТОО AVIATA.KZ;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107603835?hhtmFrom=vacancy_search_list
Специалист технической поддержки;ТОО RIMAKS(РИМАКС);Без опыта;320 000 – 430 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107899174?hhtmFrom=vacancy_search_list
Бизнес аналитик/дата аналитик;АО Bereke Bank;Без опыта;Not specified;https://almaty.hh.kz/vacancy/107621403?hhtmFrom=vacancy_search_list
Специалист операционной поддержки;АО Сәтті Жұлдыз;Без опыта;230 000 – 230 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108357492?hhtmFrom=vacancy_search_list
